,AT,V,AP,RH,PE
24073,14.8,40.2,1012.87,88.35,466.27
24074,24.94,59.07,1008.89,84.79,440.12
24075,28.85,57.19,1008.2,58.4,436.8
24076,13.18,43.72,1010.59,99.09,464.7
24077,14.62,44.84,1023.41,85.17,464.51
24078,16.96,44.9,1020.5,77.53,458.1
24079,5.89,35.77,1019.78,79.58,479.86
24080,25.72,49.82,1016.19,60.1,452.33
24081,34.18,78.05,1010.71,66.77,432.1
24082,17.01,49.15,1021.83,84.02,458.78
24083,28.7,71.64,1007.11,69.85,436.58
24084,25.45,75.23,1011.41,73.33,441.65
24085,27.16,56.85,1012.07,39.05,437.4
24086,12.39,44.58,1016.38,84.95,475.37
24087,13.8,40.2,1013.12,90.59,466.29
24088,25.69,59.54,1004.05,81.69,439.06
24089,15.33,43.13,1015.41,53.17,466.86
24090,24.48,66.25,1009.42,88.17,441.07
24091,12.66,43.67,1012.49,95.96,472.44
24092,14.81,44.88,1019.1,66.7,464.65
24093,26.92,64.69,1006.66,76.14,437.62
24094,29.17,67.45,1014.1,46.85,435.08
24095,14.86,37.85,1010.58,86.8,467.71
24096,28.31,64.79,1016.58,60.88,440.96
24097,26.02,70.79,1004.21,79.12,428.72
24098,13.69,40.1,1014.38,83.57,470.76
24099,10.03,40.96,1024.57,91.1,478.79
24100,16.57,53.82,1015.17,63.69,462.52
24101,10.41,41.01,1020.12,94.27,472.82
24102,6.43,36.08,1022.73,85.03,486.39
24103,18.77,49.21,1012.2,58.69,454.86
24104,9.06,36.3,1015.14,58.71,477.38
24105,7.66,41.92,1031.96,82.48,485.11
24106,27.51,73.67,1005.71,76.75,431.97
24107,17.92,44.2,1018.97,53.8,455.37
24108,33.37,71.37,1003.75,45.26,432.67
24109,27.44,47.93,1002.71,59.44,437.76
24110,31.98,70.17,999.43,59.42,430.92
24111,13.78,40.0,1018.38,68.67,458.74
24112,27.97,58.84,1002.25,57.88,446.11
24113,7.61,39.42,1024.93,74.77,475.55
24114,8.76,40.96,1025.21,90.72,483.79
24115,10.31,38.18,1018.02,70.1,476.31
24116,22.55,70.79,1006.19,92.56,436.43
24117,26.9,66.48,1004.47,54.71,432.95
24118,22.75,70.94,1008.03,81.95,439.91
24119,13.55,40.1,1014.57,81.48,469.57
24120,11.43,41.16,1022.81,92.04,466.86
24121,21.62,58.59,1012.93,67.05,445.92
24122,11.57,44.63,1020.7,91.11,469.64
24123,19.68,56.65,1020.75,67.25,456.89
24124,15.67,48.78,1013.76,88.92,462.96
24125,4.83,38.44,1015.35,72.94,485.32
24126,13.76,45.08,1023.77,80.48,469.74
24127,11.8,43.22,1008.57,78.01,469.55
24128,27.19,64.27,1013.06,58.13,444.54
24129,27.46,69.98,1013.28,63.73,435.36
24130,19.45,41.1,1001.88,52.16,458.26
24131,24.2,68.67,1006.72,78.08,444.09
24132,5.45,39.04,1020.07,77.05,487.33
24133,8.75,40.22,1008.96,90.53,482.8
24134,10.09,37.14,1012.99,72.59,473.66
24135,15.37,43.34,1014.84,80.37,460.02
24136,23.81,57.5,1015.53,70.66,448.72
24137,13.0,39.85,1012.57,61.56,477.71
24138,14.57,25.88,1008.92,69.16,464.11
24139,21.86,58.49,1010.88,76.79,449.9
24140,19.44,60.07,1014.8,69.06,452.89
24141,10.05,37.14,1012.64,75.97,474.16
24142,22.76,49.02,1007.5,88.56,442.84
24143,6.86,42.49,1007.95,93.96,486.14
24144,30.8,73.17,1010.51,51.93,432.24
24145,18.55,43.69,1016.84,47.95,465.2
24146,25.32,48.41,1008.47,72.14,443.04
24147,23.38,48.6,1004.45,69.19,440.9
24148,24.06,71.25,1002.39,92.18,438.85
24149,20.48,51.43,1007.4,90.7,448.03
24150,19.17,52.9,1016.56,65.23,458.59
24151,10.56,41.54,1019.92,78.95,479.33
24152,7.94,40.6,1015.3,92.14,486.33
24153,12.4,40.35,1011.46,79.49,476.44
24154,27.46,61.86,1012.39,66.09,439.72
24155,11.28,40.55,1006.23,97.78,475.14
24156,29.05,64.84,1011.1,51.39,442.58
24157,14.97,42.28,1007.31,79.25,466.62
24158,19.82,63.9,1013.19,78.96,449.61
24159,8.01,40.02,1031.33,85.01,477.84
24160,29.05,69.71,1009.03,64.25,434.05
24161,12.01,41.48,1017.75,66.67,469.08
24162,18.22,49.25,1020.33,61.87,454.66
24163,26.82,64.96,999.72,63.55,427.51
24164,24.17,48.41,1008.46,76.19,442.62
24165,22.25,43.79,1015.78,52.68,461.93
24166,10.02,52.75,1021.93,73.68,473.09
24167,24.73,74.22,1010.15,79.83,436.55
24168,30.97,74.22,1007.93,49.74,431.58
24169,11.72,41.54,1020.04,66.84,476.12
24170,12.83,41.67,1012.84,84.29,474.81
24171,6.39,35.57,1025.53,77.23,487.69
24172,18.67,47.83,1005.12,82.97,454.47
24173,11.72,39.18,1024.19,68.53,468.98
24174,25.88,61.47,1007.93,68.71,445.65
24175,20.77,51.3,1013.89,88.72,450.97
24176,14.77,44.9,1020.5,84.31,465.23
24177,21.98,48.41,1008.42,84.86,444.6
24178,25.61,74.22,1010.26,75.15,438.45
24179,28.7,49.16,1004.42,36.51,439.45
24180,10.89,44.2,1018.3,86.32,479.16
24181,13.78,40.73,1017.55,94.28,462.59
24182,10.37,37.5,1013.19,79.25,473.1
24183,21.08,63.13,1013.53,98.0,443.51
24184,22.95,63.94,1013.91,81.52,438.33
24185,17.15,43.69,1017.05,63.36,463.88
24186,16.34,41.16,1006.36,75.52,462.56
24187,29.08,70.83,1007.98,51.95,430.91
24188,17.57,62.1,1019.51,86.14,453.3
24189,22.31,51.19,1009.38,79.72,444.74
24190,9.41,40.43,1025.68,79.49,492.88
24191,26.99,62.26,1011.13,71.27,436.89
24192,10.32,41.01,1021.04,95.3,467.81
24193,15.54,41.23,995.45,83.73,463.06
24194,10.24,39.28,1010.13,81.61,477.53
24195,21.16,50.66,1014.13,72.77,455.86
24196,5.9,45.87,1013.25,87.0,481.27
24197,9.38,41.44,1015.09,86.8,481.96
24198,22.79,44.57,1007.31,69.36,448.91
24199,22.01,58.46,1016.26,75.99,443.75
24200,17.47,58.16,1016.36,82.26,456.97
24201,27.35,61.47,1008.43,70.65,443.67
24202,23.36,72.24,1010.99,94.41,434.15
24203,8.07,41.17,1019.4,86.43,484.54
24204,14.02,42.86,1030.86,68.36,467.29
24205,13.72,41.62,1011.14,75.79,455.52
24206,31.86,69.59,1008.61,59.74,435.72
24207,19.72,47.03,1012.1,90.36,458.59
24208,28.82,71.43,1011.51,58.58,443.68
24209,19.15,59.21,1018.41,88.9,450.26
24210,22.22,48.98,1015.87,53.18,447.1
24211,8.44,41.17,1019.9,70.72,486.15
24212,26.41,68.24,1010.6,77.79,428.52
24213,13.43,43.56,1013.02,66.36,472.94
24214,20.71,49.69,1010.26,69.97,455.69
24215,23.63,63.57,1011.05,87.96,449.01
24216,18.92,44.06,1017.47,68.75,453.72
24217,23.17,51.19,1009.5,76.15,441.77
24218,29.91,76.86,998.59,72.41,432.6
24219,20.6,65.12,1015.53,71.57,452.86
24220,21.53,59.8,1016.46,74.72,454.99
24221,13.67,38.53,1009.3,81.85,470.39
24222,9.83,41.17,1019.34,72.29,478.21
24223,15.01,39.52,1017.53,72.0,468.02
24224,10.07,41.39,1019.89,70.53,480.54
24225,12.51,41.14,1027.36,87.86,463.79
24226,26.28,73.06,1008.06,90.7,437.01
24227,25.31,60.75,1008.65,79.35,437.33
24228,5.82,41.38,1021.06,86.91,492.12
24229,27.33,52.84,1005.88,56.16,438.97
24230,17.34,44.06,1015.84,74.88,458.5
24231,24.04,72.43,1008.02,87.2,439.39
24232,21.33,58.46,1016.17,79.73,445.27
24233,20.03,62.26,1012.15,82.54,447.4
24234,10.59,41.26,1008.1,98.27,474.76
24235,8.67,40.77,1011.81,89.4,479.23
24236,6.06,41.17,1019.67,84.7,489.62
24237,13.67,44.92,1023.6,85.35,467.71
24238,20.08,49.69,1008.34,69.88,453.54
24239,28.15,71.25,1000.51,81.04,431.28
24240,26.08,76.86,1003.3,79.49,436.85
24241,31.3,67.17,1007.27,62.99,433.53
24242,7.39,39.81,1019.45,85.02,482.99
24243,13.01,41.49,1019.82,92.86,466.5
24244,10.46,37.5,1013.12,76.74,472.16
24245,3.38,39.64,1011.0,81.22,488.92
24246,14.54,41.17,1015.15,67.78,470.19
24247,17.32,45.0,1022.19,40.45,469.38
24248,7.64,40.81,1026.67,95.24,483.38
24249,27.29,64.45,1013.46,45.35,446.94
24250,34.18,67.9,1005.87,30.34,425.5
24251,25.44,75.23,1010.71,66.44,436.67
24252,9.18,42.44,1014.52,98.04,480.49
24253,20.62,68.12,1012.33,79.88,447.16
24254,16.0,43.34,1013.89,78.39,462.33
24255,26.54,69.48,1010.7,66.09,432.56
24256,20.76,70.72,1009.73,89.04,448.85
24257,14.43,38.91,1013.28,70.26,468.83
24258,13.12,52.75,1023.69,67.5,462.7
24259,23.4,65.06,1014.32,67.38,442.7
24260,10.32,38.91,1012.11,81.49,479.17
24261,20.03,69.45,1013.47,86.66,441.54
24262,8.72,40.02,1031.32,78.09,477.86
24263,26.38,65.12,1016.1,47.57,441.07
24264,15.48,53.82,1016.1,64.77,462.69
24265,29.44,64.33,1011.4,61.78,442.32
24266,14.43,45.08,1023.23,83.98,465.07
24267,18.41,42.04,1011.69,64.88,465.64
24268,21.97,58.12,1014.21,85.93,448.91
24269,17.32,43.7,1015.13,61.66,464.5
24270,12.1,41.17,1013.72,75.61,478.1
24271,25.26,65.61,1014.43,58.35,447.34
24272,14.72,41.23,997.91,82.69,467.11
24273,10.07,40.92,1021.43,97.15,467.01
24274,10.8,41.66,1013.79,81.96,475.51
24275,16.82,49.15,1020.68,72.07,462.22
24276,27.04,65.06,1013.33,52.37,439.84
24277,7.72,41.14,1025.11,96.75,478.34
24278,23.49,64.63,1020.75,65.16,450.28
24279,19.09,66.51,1015.11,76.38,458.41
24280,10.54,34.03,1018.71,74.0,478.77
24281,29.4,57.19,1008.34,53.95,436.92
24282,25.01,59.54,1007.91,80.93,441.3
24283,11.27,40.62,1017.03,61.94,471.26
24284,18.22,58.2,1017.09,81.92,451.04
24285,17.48,58.95,1016.49,90.35,449.26
24286,26.85,73.77,1001.2,90.13,431.24
24287,25.56,50.05,1005.67,69.29,442.49
24288,12.3,39.85,1012.59,73.38,476.42
24289,14.26,42.86,1011.33,88.37,471.19
24290,13.78,41.16,1021.65,75.77,460.44
24291,14.12,41.39,1018.73,76.51,472.88
24292,22.39,58.18,1008.52,87.48,448.37
24293,6.71,40.96,1022.71,91.89,486.58
24294,13.39,49.83,1007.14,90.88,466.04
24295,18.21,45.0,1022.86,48.84,467.54
24296,25.95,69.51,1009.36,66.82,434.38
24297,29.53,70.79,1003.7,60.89,426.85
24298,11.29,35.76,1019.32,58.91,473.74
24299,11.21,40.75,1016.45,86.14,479.2
24300,15.41,42.44,1012.6,86.74,472.28
24301,14.05,41.39,1019.06,68.54,472.19
24302,9.3,38.18,1017.19,71.51,480.14
24303,29.09,47.93,1003.05,48.13,438.97
24304,23.14,62.26,1011.87,66.44,444.38
24305,22.63,57.17,1009.83,77.43,433.54
24306,26.12,70.47,1009.93,72.13,434.67
24307,14.31,40.78,1024.3,76.41,463.54
24308,9.2,40.03,1017.05,92.46,480.38
24309,7.81,40.71,1023.32,82.08,475.46
24310,26.2,74.67,1016.69,84.38,430.22
24311,3.91,35.47,1016.92,86.03,488.67
24312,28.01,44.89,1008.98,48.52,444.76
24313,20.78,58.86,1016.02,77.29,446.2
24314,4.87,42.85,1013.6,92.3,482.22
24315,28.41,75.6,1018.48,56.07,440.28
24316,10.63,40.67,1017.13,66.12,483.27
24317,25.19,63.94,1012.78,75.15,438.73
24318,13.52,42.07,1017.91,90.21,464.07
24319,29.84,74.87,1009.64,61.39,435.05
24320,22.43,63.94,1012.76,93.24,444.53
24321,27.63,70.17,1000.42,85.22,432.46
24322,18.88,44.06,1013.81,68.54,451.13
24323,17.39,42.44,1013.72,73.79,461.55
24324,27.6,73.42,1011.91,83.66,431.44
24325,13.98,40.71,1022.72,71.83,474.46
24326,29.06,64.96,1000.88,62.07,430.24
24327,26.32,69.71,1009.39,67.05,441.25
24328,22.5,70.94,1008.04,82.39,442.4
24329,16.37,39.64,1009.19,76.92,463.91
24330,14.7,40.8,1025.78,50.96,472.85
24331,21.97,68.12,1012.53,75.12,443.39
24332,17.14,44.2,1018.91,62.18,457.02
24333,26.16,59.87,1013.24,71.92,446.73
24334,28.33,64.96,999.71,69.66,427.42
24335,22.69,58.46,1017.74,75.21,443.47
24336,22.85,60.08,1018.05,67.12,452.5
24337,24.8,59.87,1018.79,60.79,441.0
24338,12.49,38.25,1012.61,83.32,470.63
24339,28.71,64.69,1006.52,68.38,435.85
24340,23.06,63.9,1013.54,65.28,447.36
24341,22.94,61.5,1008.25,73.45,445.31
24342,12.98,39.64,1013.95,74.39,473.54
24343,21.16,65.48,1016.99,72.79,446.37
24344,16.01,43.69,1017.12,62.43,465.89
24345,18.88,43.69,1016.77,46.88,464.63
24346,24.86,65.34,1012.99,60.33,447.25
24347,27.02,61.86,1012.38,70.28,442.67
24348,26.62,72.43,1006.79,82.74,430.22
24349,29.71,71.85,1008.81,70.86,428.49
24350,19.58,50.12,1009.82,100.1,449.44
24351,27.33,51.43,1006.18,67.6,439.12
24352,13.42,40.35,1011.2,77.0,472.57
24353,13.16,43.41,1016.43,79.47,465.6
24354,6.76,37.49,1011.66,80.91,484.85
24355,24.51,51.95,1005.57,63.53,449.73
24356,27.53,72.58,1009.13,89.06,428.83
24357,16.43,48.06,1010.73,61.26,459.63
24358,23.62,73.67,1007.0,90.8,438.33
24359,28.65,68.27,1006.96,52.78,432.73
24360,8.96,40.02,1031.21,82.32,475.47
24361,11.23,43.67,1012.57,72.1,475.41
24362,20.99,50.12,1008.82,95.97,448.07
24363,8.61,43.8,1021.9,74.35,478.25
24364,27.76,72.99,1007.81,71.66,435.02
24365,25.24,68.67,1006.76,76.95,442.29
24366,25.66,61.08,1013.0,71.21,446.05
24367,24.62,68.31,1010.45,75.18,448.58
24368,13.13,40.75,1016.05,80.87,472.5
24369,18.13,60.1,1009.67,84.75,455.82
24370,28.11,77.95,1009.38,72.81,432.98
24371,13.83,40.2,1013.28,90.44,465.53
24372,21.62,48.78,1020.06,85.09,448.52
24373,15.77,58.16,1016.09,82.56,450.11
24374,30.04,68.08,1011.04,51.01,429.52
24375,22.86,58.96,1014.03,54.96,451.82
24376,23.79,58.59,1013.94,72.5,443.19
24377,13.6,39.82,1013.34,86.1,470.69
24378,12.73,37.73,1021.89,61.76,470.89
24379,7.01,40.72,1024.0,86.37,489.64
24380,22.05,59.92,1009.06,93.74,437.9
24381,27.57,71.32,1002.59,76.68,436.61
24382,24.62,70.47,1010.55,72.71,435.88
24383,3.68,39.64,1011.31,84.05,490.02
24384,28.18,71.14,1011.56,48.03,432.72
24385,27.14,64.27,1012.71,54.4,441.68
24386,18.04,44.85,1015.13,48.4,463.31
24387,27.05,77.95,1009.57,76.56,434.09
24388,12.24,40.96,1023.52,81.09,474.76
24389,10.61,40.77,1022.09,83.62,471.26
24390,23.63,60.37,1005.0,81.66,440.74
24391,34.65,74.67,1016.03,26.67,427.69
24392,23.46,72.43,1008.0,90.55,435.36
24393,32.27,71.85,1007.88,56.01,427.56
24394,26.44,54.2,1012.65,48.02,444.78
24395,4.43,38.91,1019.04,88.17,491.9
24396,30.93,61.5,1009.81,41.46,437.35
24397,17.79,43.52,1020.65,68.29,458.57
24398,22.99,62.96,1019.6,65.05,449.4
24399,12.15,71.14,1019.56,86.06,462.51
24400,30.24,67.32,1014.07,46.53,437.18
24401,4.15,39.9,1008.84,96.68,491.22
24402,27.07,74.87,1010.09,58.97,440.47
24403,5.68,40.77,1022.49,90.6,487.58
24404,33.63,77.54,1009.82,58.04,431.81
24405,6.17,39.33,1012.57,93.32,491.54
24406,10.58,42.34,1022.32,94.01,474.91
24407,9.32,41.39,1020.03,70.21,481.88
24408,27.55,64.96,999.73,57.34,431.33
24409,23.94,62.08,1022.47,61.97,447.5
24410,32.9,68.51,1012.95,50.09,430.23
24411,8.91,40.11,1022.87,78.39,475.43
24412,28.64,69.23,1013.11,37.13,434.4
24413,14.43,35.85,1021.99,78.25,464.6
24414,21.94,57.5,1014.64,78.52,451.1
24415,26.09,70.4,1007.41,85.37,432.52
24416,13.18,43.8,1023.18,61.21,467.0
24417,15.83,52.75,1024.3,58.34,458.6
24418,6.65,39.33,1011.29,92.85,490.41
24419,23.73,59.15,1014.08,62.65,444.07
24420,9.51,40.46,1018.84,70.12,471.32
24421,15.98,44.68,1018.48,85.94,462.77
24422,23.84,49.21,1013.1,44.72,445.44
24423,13.56,39.52,1016.61,78.35,470.67
24424,21.93,60.84,1018.96,76.8,440.76
24425,10.53,41.26,1007.48,98.74,475.96
24426,8.69,40.81,1026.19,86.25,484.55
24427,10.1,44.03,1008.11,90.29,471.59
24428,9.53,38.38,1020.49,80.08,478.03
24429,25.72,47.45,1007.74,58.35,442.78
24430,23.91,50.23,1017.25,68.57,455.41
24431,14.87,54.3,1017.17,71.57,462.87
24432,27.41,74.67,1016.57,80.16,429.21
24433,24.34,73.5,1011.31,84.15,440.29
24434,24.78,66.49,1010.55,68.12,436.62
24435,21.61,64.63,1020.86,69.73,451.02
24436,29.94,65.74,1012.4,46.94,440.54
24437,28.07,61.47,1008.68,64.83,442.59
24438,28.32,47.93,1003.26,54.5,439.5
24439,31.82,71.29,1008.44,41.7,431.23
24440,22.28,60.27,1018.98,84.12,443.44
24441,21.41,56.9,1007.03,79.41,441.41
24442,28.9,71.25,1000.73,77.24,431.52
24443,5.84,43.02,1013.88,87.42,489.05
24444,19.67,44.89,1009.43,73.88,455.2
24445,14.14,39.82,1012.46,81.15,472.52
24446,15.8,53.82,1015.87,68.48,463.09
24447,30.9,69.4,1003.53,66.69,425.3
24448,12.99,43.8,1023.16,64.65,466.95
24449,20.8,50.9,1012.07,73.16,457.0
24450,7.55,39.22,1014.53,77.76,482.19
24451,29.1,76.2,1006.28,60.22,435.97
24452,30.08,67.25,1017.6,53.09,434.01
24453,17.3,62.1,1020.28,88.06,450.83
24454,27.89,73.21,1001.32,85.88,431.59
24455,16.16,41.79,1007.53,76.21,453.39
24456,29.12,67.32,1014.21,48.8,435.2
24457,13.12,48.04,1011.93,100.07,463.46
24458,12.15,38.78,1013.34,95.05,474.15
24459,28.68,73.77,1004.72,87.01,431.66
24460,11.56,40.43,1025.48,74.75,489.54
24461,23.36,59.15,1013.71,86.64,442.53
24462,10.53,37.5,1008.55,99.91,472.32
24463,12.31,41.06,1021.19,74.38,475.76
24464,19.18,65.06,1015.99,77.06,448.26
24465,23.22,69.04,1009.65,89.05,448.6
24466,16.32,43.14,1014.72,70.43,465.38
24467,13.31,42.18,1016.0,83.94,466.56
24468,8.14,39.96,1023.41,88.86,477.05
24469,17.75,49.25,1020.86,63.67,454.41
24470,21.08,70.32,1011.39,88.79,440.59
24471,16.39,58.59,1014.58,90.34,455.05
24472,24.74,63.87,1016.91,55.65,447.02
24473,32.14,75.08,1005.35,49.92,439.22
24474,21.43,59.14,1015.91,64.4,448.51
24475,16.88,43.67,1011.43,73.98,463.81
24476,19.13,45.38,1014.72,81.95,459.94
24477,27.2,65.12,1016.2,44.95,442.54
24478,13.49,44.63,1019.12,70.02,471.08
24479,15.93,52.75,1024.57,58.71,457.92
24480,28.4,69.34,1009.76,70.4,436.5
24481,20.54,59.39,1014.07,84.15,445.41
24482,14.26,40.92,1022.07,73.96,460.38
24483,10.73,44.92,1025.1,85.4,476.81
24484,29.45,74.16,1010.49,64.87,438.11
24485,9.46,42.28,1008.67,78.16,481.95
24486,28.18,60.07,1016.34,49.13,441.61
24487,32.42,65.74,1010.97,52.73,439.01
24488,32.83,74.16,1007.57,60.2,432.05
24489,20.2,50.9,1011.72,77.63,454.09
24490,25.1,60.37,1005.83,72.53,438.44
24491,33.37,73.88,1005.8,47.94,436.76
24492,27.99,71.64,1007.79,72.67,437.81
24493,28.51,70.02,1010.58,54.68,441.66
24494,16.17,46.97,1014.22,85.8,456.08
24495,18.14,67.71,1003.82,95.69,442.45
24496,27.18,79.05,1008.99,94.32,434.01
24497,16.27,56.89,1013.74,84.36,454.88
24498,26.69,59.21,1012.55,57.59,436.33
24499,11.63,40.55,1022.89,87.12,474.67
24500,31.59,58.9,1003.39,47.6,440.52
24501,13.45,45.87,1008.42,87.74,464.59
